concept:operation,time:timestamp,concept:resource,concept:instance,lifecycle:transition,concept:name,@@index,@@case_index,case:concept:name
r,2026-01-06 09:05:01.886184+00:00,re7,1,begin,Requisito,11,0,Demanda 0001
c,2026-01-06 10:32:40.071672+00:00,re7,1,begin,Gestao,19,0,Demanda 0001
r,2026-01-06 10:38:50.570822+00:00,re7,1,begin,Requisito,23,0,Demanda 0001
d,2026-01-06 12:05:45.926421+00:00,re7,1,begin,Requisito,29,0,Demanda 0001
r,2026-01-06 12:39:42.045402+00:00,re7,1,begin,Codigo,38,0,Demanda 0001
r,2026-01-06 12:46:19.778777+00:00,re10,1,begin,PF,40,0,Demanda 0001
d,2026-01-06 00:07:06.869651+00:00,re7,2,begin,Gestao,0,0,Demanda 0001
u,2026-01-06 02:23:30.817105+00:00,re7,2,begin,Requisito,1,0,Demanda 0001
r,2026-01-06 02:36:50.943892+00:00,re7,2,begin,Requisito,2,0,Demanda 0001
c,2026-01-06 03:28:17.687918+00:00,re7,2,begin,Requisito,3,0,Demanda 0001
r,2026-01-06 06:01:58.762268+00:00,re7,2,begin,Codigo,5,0,Demanda 0001
d,2026-01-06 10:54:17.388057+00:00,re7,2,begin,Requisito,25,0,Demanda 0001
u,2026-01-06 13:44:02.651334+00:00,re7,2,begin,Gestao,49,0,Demanda 0001
d,2026-01-06 07:42:01.023880+00:00,re7,3,begin,Gestao,6,0,Demanda 0001
c,2026-01-06 09:02:45.491460+00:00,re7,3,begin,PF,10,0,Demanda 0001
d,2026-01-06 09:07:21.489662+00:00,re7,3,begin,PF,13,0,Demanda 0001
u,2026-01-06 09:13:50.574285+00:00,re7,3,begin,Gestao,14,0,Demanda 0001
c,2026-01-06 11:03:42.800103+00:00,re7,3,begin,Gestao,27,0,Demanda 0001
u,2026-01-06 08:00:06.772091+00:00,re7,4,begin,Gestao,7,0,Demanda 0001
u,2026-01-06 08:11:22.376895+00:00,re7,4,begin,PF,8,0,Demanda 0001
r,2026-01-06 08:51:49.656000+00:00,re7,4,begin,Gestao,9,0,Demanda 0001
r,2026-01-06 10:03:33.725097+00:00,re7,4,begin,Codigo,16,0,Demanda 0001
c,2026-01-06 10:43:16.083187+00:00,re7,4,begin,PF,24,0,Demanda 0001
r,2026-01-06 12:32:56.692869+00:00,re7,4,begin,Requisito,37,0,Demanda 0001
d,2026-01-06 14:21:34.619922+00:00,re7,4,begin,Gestao,57,0,Demanda 0001
c,2026-01-06 13:01:56.843093+00:00,re7,5,begin,Gestao,43,0,Demanda 0001
u,2026-01-06 14:31:40.357897+00:00,re7,5,begin,Gestao,59,0,Demanda 0001
u,2026-01-06 15:08:04.290437+00:00,re7,6,begin,Gestao,69,0,Demanda 0001
c,2026-01-06 15:09:43.064497+00:00,re7,6,begin,Gestao,71,0,Demanda 0001
d,2026-01-06 12:07:00.677614+00:00,re7,7,begin,Gestao,30,0,Demanda 0001
d,2026-01-06 12:17:24.408981+00:00,re7,7,begin,Codigo,34,0,Demanda 0001
u,2026-01-06 12:22:27.455628+00:00,re7,7,begin,Codigo,36,0,Demanda 0001
c,2026-01-06 12:46:27.688538+00:00,re7,7,begin,Codigo,41,0,Demanda 0001
r,2026-01-06 13:18:04.557568+00:00,re7,7,begin,Requisito,45,0,Demanda 0001
r,2026-01-06 13:23:10.770019+00:00,re7,7,begin,Teste,46,0,Demanda 0001
r,2026-01-06 13:58:59.759235+00:00,re7,7,begin,Gestao,52,0,Demanda 0001
u,2026-01-06 14:12:20.436370+00:00,re7,7,begin,Gestao,54,0,Demanda 0001
u,2026-01-06 13:31:41.937432+00:00,re7,8,begin,Gestao,47,0,Demanda 0001
r,2026-01-06 13:45:56.816321+00:00,re7,8,begin,Requisito,50,0,Demanda 0001
r,2026-01-06 13:50:14.848453+00:00,re7,8,begin,PF,51,0,Demanda 0001
c,2026-01-06 14:04:55.286152+00:00,re7,8,begin,PF,53,0,Demanda 0001
r,2026-01-06 14:12:26.116448+00:00,re7,8,begin,Codigo,55,0,Demanda 0001
c,2026-01-06 14:19:39.450580+00:00,re7,8,begin,Gestao,56,0,Demanda 0001
u,2026-01-06 15:15:19.184414+00:00,re7,8,begin,PF,73,0,Demanda 0001
d,2026-01-06 15:25:09.196825+00:00,re7,8,begin,PF,76,0,Demanda 0001
d,2026-01-06 14:40:49.840583+00:00,re7,9,begin,Gestao,60,0,Demanda 0001
c,2026-01-06 14:52:56.667175+00:00,re7,9,begin,Gestao,63,0,Demanda 0001
r,2026-01-06 14:53:15.474351+00:00,re7,9,begin,Gestao,64,0,Demanda 0001
u,2026-01-06 15:00:21.652376+00:00,re7,9,begin,Gestao,65,0,Demanda 0001
r,2026-01-06 15:02:38.889718+00:00,re7,9,begin,Codigo,67,0,Demanda 0001
c,2026-01-06 15:06:47.762276+00:00,re7,9,begin,PF,68,0,Demanda 0001
r,2026-01-06 15:09:34.859245+00:00,re7,9,begin,PF,70,0,Demanda 0001
u,2026-01-06 04:24:17.574869+00:00,re7,10,begin,Gestao,4,0,Demanda 0001
d,2026-01-06 09:06:17.698639+00:00,re7,10,begin,Gestao,12,0,Demanda 0001
u,2026-01-06 10:24:06.436306+00:00,re7,10,begin,Codigo,17,0,Demanda 0001
r,2026-01-06 10:27:20.948361+00:00,re7,10,begin,Gestao,18,0,Demanda 0001
r,2026-01-06 15:01:48.733677+00:00,re7,10,begin,Requisito,66,0,Demanda 0001
r,2026-01-06 15:13:04.962168+00:00,re7,10,begin,Codigo,72,0,Demanda 0001
r,2026-01-06 12:10:13.658973+00:00,re7,11,begin,Gestao,31,0,Demanda 0001
r,2026-01-06 12:14:12.658643+00:00,re7,11,begin,Requisito,33,0,Demanda 0001
d,2026-01-06 12:20:40.432830+00:00,re7,11,begin,Gestao,35,0,Demanda 0001
u,2026-01-06 12:47:51.269683+00:00,re7,11,begin,Gestao,42,0,Demanda 0001
c,2026-01-06 14:47:05.334243+00:00,re7,11,begin,Gestao,62,0,Demanda 0001
u,2026-01-06 12:13:16.285176+00:00,re7,12,begin,Gestao,32,0,Demanda 0001
r,2026-01-06 15:18:30.952790+00:00,re6,12,begin,Gestao,75,0,Demanda 0001
d,2026-01-06 15:45:58.778135+00:00,re7,12,begin,Gestao,82,0,Demanda 0001
r,2026-01-06 15:15:57.842669+00:00,re7,13,begin,Gestao,74,0,Demanda 0001
c,2026-01-06 15:30:45.298638+00:00,re7,13,begin,PF,78,0,Demanda 0001
u,2026-01-06 15:31:50.834986+00:00,re7,13,begin,PF,79,0,Demanda 0001
u,2026-01-06 15:33:17.506554+00:00,re7,13,begin,Gestao,80,0,Demanda 0001
r,2026-01-06 15:35:53.413312+00:00,re7,13,begin,Codigo,81,0,Demanda 0001
r,2026-01-06 15:50:12.194123+00:00,re7,13,begin,Requisito,84,0,Demanda 0001
r,2026-01-06 16:01:16.036975+00:00,re7,13,begin,PF,85,0,Demanda 0001
u,2026-01-06 10:33:05.712640+00:00,re7,14,begin,Gestao,20,0,Demanda 0001
r,2026-01-06 10:34:09.323818+00:00,re7,14,begin,PF,21,0,Demanda 0001
c,2026-01-06 10:36:56.165180+00:00,re7,14,begin,Gestao,22,0,Demanda 0001
c,2026-01-06 10:59:17.066546+00:00,re7,14,begin,PF,26,0,Demanda 0001
r,2026-01-06 12:40:41.280643+00:00,re7,14,begin,Requisito,39,0,Demanda 0001
r,2026-01-06 15:48:08.466707+00:00,re7,14,begin,Codigo,83,0,Demanda 0001
u,2026-01-06 13:38:45.788160+00:00,re7,15,begin,Gestao,48,0,Demanda 0001
r,2026-01-06 16:30:15.038171+00:00,re7,15,begin,Requisito,88,0,Demanda 0001
r,2026-01-07 00:32:04.377555+00:00,re7,16,begin,Teste,97,0,Demanda 0001
d,2026-01-07 01:26:46.140868+00:00,re7,16,begin,Teste,98,0,Demanda 0001
c,2026-01-07 04:26:39.575621+00:00,re7,16,begin,Teste,99,0,Demanda 0001
c,2026-01-07 04:29:52.705653+00:00,re7,16,begin,Gestao,100,0,Demanda 0001
u,2026-01-07 05:11:16.849227+00:00,re7,16,begin,Gestao,101,0,Demanda 0001
u,2026-01-06 11:48:05.093456+00:00,re7,17,begin,Codigo,28,0,Demanda 0001
d,2026-01-06 13:11:33.646543+00:00,re7,17,begin,Gestao,44,0,Demanda 0001
u,2026-01-06 15:27:36.133026+00:00,re7,17,begin,Gestao,77,0,Demanda 0001
c,2026-01-06 17:05:16.336839+00:00,re7,17,begin,Codigo,92,0,Demanda 0001
d,2026-01-06 17:10:55.249691+00:00,re7,17,begin,Codigo,94,0,Demanda 0001
u,2026-01-06 16:14:51.959757+00:00,re7,18,begin,Gestao,86,0,Demanda 0001
d,2026-01-06 16:22:41.393713+00:00,re7,18,begin,Gestao,87,0,Demanda 0001
c,2026-01-06 16:51:48.372379+00:00,re7,18,begin,PF,89,0,Demanda 0001
r,2026-01-06 17:15:55.822532+00:00,re7,18,begin,Codigo,95,0,Demanda 0001
u,2026-01-06 17:22:50.160680+00:00,re7,18,begin,PF,96,0,Demanda 0001
r,2026-01-06 14:24:34.661667+00:00,re7,19,begin,Requisito,58,0,Demanda 0001
r,2026-01-06 14:42:06.777361+00:00,re7,19,begin,Codigo,61,0,Demanda 0001
c,2026-01-06 16:52:55.178576+00:00,re7,19,begin,PF,90,0,Demanda 0001
u,2026-01-06 16:59:03.677741+00:00,re7,19,begin,Gestao,91,0,Demanda 0001
r,2026-01-06 17:07:49.296201+00:00,re7,19,begin,Gestao,93,0,Demanda 0001
u,2026-01-07 18:26:27.152105+00:00,re7,20,begin,Teste,102,0,Demanda 0001
r,2026-01-07 18:36:02.411544+00:00,re7,20,begin,Requisito,103,0,Demanda 0001
r,2026-01-07 18:53:23.715402+00:00,re7,20,begin,Teste,104,0,Demanda 0001
r,2026-01-07 18:56:16.275121+00:00,re7,20,begin,Codigo,105,0,Demanda 0001
u,2026-01-07 19:01:31.674163+00:00,re7,20,begin,Gestao,106,0,Demanda 0001
