concept:name,lifecycle:transition,time:timestamp,concept:resource,concept:instance,@@index,@@case_index,case:concept:name,concept:operation
Atualizacao de requisitos funcionais,begin,2026-01-06 06:10:18.751000+00:00,re7,1,2,0,Demanda 0001,A
Requisito,complete,2026-01-06 09:05:01.886184+00:00,re7,1,11,0,Demanda 0001,r
Gestao,complete,2026-01-06 10:32:40.071672+00:00,re7,1,19,0,Demanda 0001,c
Requisito,complete,2026-01-06 10:38:50.570822+00:00,re7,1,23,0,Demanda 0001,r
Requisito,complete,2026-01-06 12:05:45.926421+00:00,re7,1,29,0,Demanda 0001,d
Codigo,complete,2026-01-06 12:39:42.045402+00:00,re7,1,38,0,Demanda 0001,r
PF,complete,2026-01-06 12:46:19.778777+00:00,re10,1,40,0,Demanda 0001,r
Atualizacao de requisitos funcionais,complete,2026-01-06 14:10:18.751000+00:00,re7,1,15,0,Demanda 0001,A
TESTE ERRO,begin,2026-01-05 22:10:25.751000+00:00,re7,2,0,0,Demanda 0001,A
Gestao,complete,2026-01-06 00:07:06.869651+00:00,re7,2,0,0,Demanda 0001,d
Requisito,complete,2026-01-06 02:23:30.817105+00:00,re7,2,1,0,Demanda 0001,u
Requisito,complete,2026-01-06 02:36:50.943892+00:00,re7,2,2,0,Demanda 0001,r
Requisito,complete,2026-01-06 03:28:17.687918+00:00,re7,2,3,0,Demanda 0001,c
Codigo,complete,2026-01-06 06:01:58.762268+00:00,re7,2,5,0,Demanda 0001,r
Requisito,complete,2026-01-06 10:54:17.388057+00:00,re7,2,25,0,Demanda 0001,d
Gestao,complete,2026-01-06 13:44:02.651334+00:00,re7,2,49,0,Demanda 0001,u
TESTE ERRO,complete,2026-01-06 14:10:25.751000+00:00,re7,2,16,0,Demanda 0001,A
Contagem de ponto de funcao,begin,2026-01-06 06:26:06.751000+00:00,re7,3,3,0,Demanda 0001,A
Gestao,complete,2026-01-06 07:42:01.023880+00:00,re7,3,6,0,Demanda 0001,d
PF,complete,2026-01-06 09:02:45.491460+00:00,re7,3,10,0,Demanda 0001,c
PF,complete,2026-01-06 09:07:21.489662+00:00,re7,3,13,0,Demanda 0001,d
Gestao,complete,2026-01-06 09:13:50.574285+00:00,re7,3,14,0,Demanda 0001,u
Gestao,complete,2026-01-06 11:03:42.800103+00:00,re7,3,27,0,Demanda 0001,c
Contagem de ponto de funcao,complete,2026-01-06 14:26:06.751000+00:00,re7,3,17,0,Demanda 0001,A
Contagem de ponto de funcao,begin,2026-01-06 06:42:28.751000+00:00,re7,4,4,0,Demanda 0001,A
Gestao,complete,2026-01-06 08:00:06.772091+00:00,re7,4,7,0,Demanda 0001,u
PF,complete,2026-01-06 08:11:22.376895+00:00,re7,4,8,0,Demanda 0001,u
Gestao,complete,2026-01-06 08:51:49.656000+00:00,re7,4,9,0,Demanda 0001,r
Codigo,complete,2026-01-06 10:03:33.725097+00:00,re7,4,16,0,Demanda 0001,r
PF,complete,2026-01-06 10:43:16.083187+00:00,re7,4,24,0,Demanda 0001,c
Requisito,complete,2026-01-06 12:32:56.692869+00:00,re7,4,37,0,Demanda 0001,r
Gestao,complete,2026-01-06 14:21:34.619922+00:00,re7,4,57,0,Demanda 0001,d
Contagem de ponto de funcao,complete,2026-01-06 14:42:28.751000+00:00,re7,4,19,0,Demanda 0001,A
Publicar solucao,begin,2026-01-06 12:50:17.751000+00:00,re7,5,11,0,Demanda 0001,A
Gestao,complete,2026-01-06 13:01:56.843093+00:00,re7,5,43,0,Demanda 0001,c
Gestao,complete,2026-01-06 14:31:40.357897+00:00,re7,5,59,0,Demanda 0001,u
Publicar solucao,complete,2026-01-06 14:50:17.751000+00:00,re7,5,20,0,Demanda 0001,A
Gestao da demanda,begin,2026-01-06 13:12:43.751000+00:00,re7,6,12,0,Demanda 0001,A
Gestao,complete,2026-01-06 15:08:04.290437+00:00,re7,6,69,0,Demanda 0001,u
Gestao,complete,2026-01-06 15:09:43.064497+00:00,re7,6,71,0,Demanda 0001,c
