Activity,Resource,Data Object,Operation,Category,Instances
"Review da entrega","","","","Ignored mandatory activity",""
"Documentacao de requisitos funcionais","","","","Ignored mandatory activity",""
"Planejamento de entrega","re7","","","Ignored mandatory activity","11"
"Documentacao de requisitos funcionais","","","","Ignored mandatory activity",""
"Atualizacao de requisitos funcionais","","Gestao","update","Ignored mandatory data access","1"
"Atualizacao de requisitos funcionais","","Requisito","update","Ignored mandatory data access","1"
"Publicar solucao","re3","","","Illegal activity","12"
"Publicar solucao","re6","Gestao","read","Illegal data access","12"
"Publicar solucao","re6","Gestao","read","Illegal data access","12"
"Publicar solucao","re7","Gestao","delete","Illegal data access","12"
"Executar teste","re7","Codigo","read","Illegal data access","20"
"Executar teste","re7","Requisito","read","Illegal data access","20"
"Executar teste","re7","Teste","read","Illegal data access","20"
"Executar teste","re7","Teste","update","Illegal data access","20"
"Atualizacao de requisitos funcionais","re10","PF","read","Illegal data access","1"
"Publicar solucao","re7","Gestao","update","Illegal data access","12"
"Executar teste","re7","Gestao","update","Illegal data access","20"
"Elaborar caso de teste","re7","","","Prohibited activity","16"
"Atualizacao de requisitos funcionais","","PF","read","Prohibited data access","1"
"TESTE ERRO","re7","","","Unexpected activity","2"
"TESTE ERRO","re7","Gestao","delete","Unexpected data access","2"
"TESTE ERRO","re7","Requisito","update","Unexpected data access","2"
"TESTE ERRO","re7","Requisito","read","Unexpected data access","2"
"TESTE ERRO","re7","Requisito","create","Unexpected data access","2"
"TESTE ERRO","re7","Codigo","read","Unexpected data access","2"
"TESTE ERRO","re7","Requisito","delete","Unexpected data access","2"
"TESTE ERRO","re7","Gestao","update","Unexpected data access","2"
