case:concept:name;concept:team;concept:resources
case_0;e5;re7, re8, re20, re3, re12
case_1;e5;re2, re9
case_2;e8;re8, re5, re16, re13
case_3;e8;re9, re14, re7, re2
case_4;e6;re1, re2, re8, re4
case_5;e8;re11, re13, re2
case_6;e4;re17, re9, re20, re15
case_7;e9;re13, re20, re1, re14
case_8;e1;re10, re16, re3
case_9;e6;re13, re17
case_10;e4;re5, re13, re16, re3, re11
case_11;e9;re8, re12, re3
case_12;e9;re3, re2, re5, re16, re12
case_13;e1;re15, re12, re16, re2, re7
case_14;e8;re10, re15, re17, re1, re4
case_15;e2;re10, re18
case_16;e7;re14, re17, re12
case_17;e6;re10, re15, re14, re4, re16
case_18;e2;re1, re12, re17
case_19;e6;re20, re7, re14
case_20;e6;re3, re15
case_21;e4;re1, re20
case_22;e8;re6, re1, re11, re18, re7
case_23;e9;re4, re8
case_24;e1;re16, re2, re4
case_25;e6;re13, re10, re8, re9, re5
case_26;e8;re16, re11, re19
case_27;e8;re20, re1, re16
case_28;e6;re2, re1, re15, re5
case_29;e4;re15, re1
case_30;e7;re2, re11
case_31;e4;re13, re8
case_32;e4;re9, re13
case_33;e9;re9, re1
case_34;e5;re2, re6
case_35;e7;re20, re14, re9
case_36;e2;re15, re12, re13, re8, re14
case_37;e9;re19, re17, re18, re10
case_38;e6;re13, re4, re17, re11
case_39;e8;re2, re7
case_40;e5;re12, re2, re13, re14
case_41;e2;re20, re2, re10, re3, re1
case_42;e8;re1, re6, re9, re8, re19
case_43;e5;re10, re11
case_44;e4;re20, re5, re4
case_45;e4;re7, re12, re16
case_46;e4;re11, re7, re1, re19, re8
case_47;e9;re10, re16, re5, re4, re7
case_48;e7;re19, re13, re12
case_49;e2;re11, re3, re19, re5, re14
case_50;e9;re14, re4
case_51;e4;re14, re9
case_52;e2;re20, re13, re19, re15
case_53;e8;re16, re4, re7
case_54;e7;re18, re14, re9, re3
case_55;e4;re9, re17, re11
case_56;e9;re16, re20, re8
case_57;e8;re1, re6
case_58;e6;re6, re17, re11
case_59;e7;re1, re7, re6, re5, re3
case_60;e7;re3, re5, re1, re8
case_61;e9;re8, re7, re9
case_62;e5;re11, re12, re5, re13, re17
case_63;e3;re11, re6, re1, re12
case_64;e8;re4, re11, re8
case_65;e1;re10, re3, re4, re6
case_66;e9;re5, re2
case_67;e8;re13, re18, re14, re7, re19
case_68;e3;re3, re5, re18
case_69;e8;re15, re17, re20, re2
case_70;e7;re12, re3, re20
case_71;e4;re19, re16
case_72;e7;re18, re5, re15
case_73;e6;re7, re2, re16, re12, re13
case_74;e8;re17, re4, re13
case_75;e7;re19, re12, re13
case_76;e5;re11, re3, re4, re12, re16
case_77;e4;re8, re17, re9, re2, re4
case_78;e8;re17, re16, re18
case_79;e5;re18, re15, re3, re10
case_80;e6;re18, re5, re12, re8, re16
case_81;e7;re20, re12
case_82;e5;re8, re9, re20, re11, re10
case_83;e5;re9, re1
case_84;e5;re9, re18, re10, re17
case_85;e1;re9, re17, re11
case_86;e2;re7, re12, re4, re19, re3
case_87;e9;re9, re20
case_88;e4;re17, re15, re13
case_89;e2;re19, re4, re6
case_90;e2;re17, re6, re1, re3
case_91;e4;re14, re16, re8
case_92;e7;re8, re12, re13, re20
case_93;e7;re15, re8, re19
case_94;e8;re2, re20, re16, re18
case_95;e7;re6, re18
case_96;e1;re6, re11, re12, re7, re2
case_97;e1;re18, re10, re11
case_98;e8;re2, re16, re14, re15, re6
case_99;e8;re9, re18, re3, re1, re2
case_100;e2;re19, re4, re9
case_101;e8;re4, re12, re2
case_102;e5;re20, re19, re4, re18, re3
case_103;e5;re13, re3, re10, re14
case_104;e7;re14, re16, re10, re15
case_105;e2;re20, re6, re9, re12
case_106;e5;re12, re8, re13, re17, re7
case_107;e9;re13, re16
case_108;e7;re2, re16
case_109;e5;re19, re14, re7
case_110;e9;re15, re18
case_111;e9;re2, re17, re16, re6, re19
case_112;e8;re13, re10, re12, re3
case_113;e6;re5, re13
case_114;e8;re7, re16, re2, re10, re9
case_115;e6;re10, re2, re8, re15, re13
case_116;e4;re7, re3, re12, re8
case_117;e6;re12, re15, re7
case_118;e5;re11, re1, re6
case_119;e6;re19, re14, re13, re4
case_120;e3;re2, re12, re6, re8
case_121;e4;re5, re8, re10, re4, re17
case_122;e4;re19, re5, re1, re18
case_123;e1;re18, re15, re12, re20, re13
case_124;e4;re19, re15
case_125;e9;re9, re13, re17, re20, re2
case_126;e2;re7, re14
case_127;e4;re4, re10, re15
case_128;e1;re7, re12, re8, re13
case_129;e7;re1, re9, re18
case_130;e2;re11, re8
case_131;e2;re12, re14, re2, re6, re17
case_132;e9;re15, re6, re9, re20
case_133;e4;re15, re12, re11
case_134;e3;re14, re17, re2, re9, re4
case_135;e4;re5, re17, re8
case_136;e3;re2, re12, re5, re1, re4
case_137;e6;re16, re9
case_138;e1;re19, re4, re8, re15, re7
case_139;e4;re20, re8, re9, re4
case_140;e1;re7, re10, re19, re11, re9
case_141;e5;re13, re14, re7, re11, re12
case_142;e7;re16, re13, re2, re14, re11
case_143;e5;re20, re12, re17, re18
case_144;e4;re13, re17
case_145;e2;re3, re2, re5, re13
case_146;e9;re13, re4
case_147;e2;re10, re11, re8, re16, re4
case_148;e1;re6, re11, re17, re13
case_149;e1;re7, re15, re2, re19, re20
case_150;e1;re4, re12, re14
case_151;e2;re2, re12, re8, re16
case_152;e9;re10, re6, re20, re2
case_153;e9;re11, re3, re2, re12
case_154;e6;re20, re12
case_155;e3;re9, re17, re20, re2
case_156;e4;re15, re4
case_157;e7;re20, re11, re18, re17
case_158;e1;re2, re10, re3, re14
case_159;e8;re11, re19
case_160;e3;re11, re3, re14
case_161;e1;re9, re3, re6, re8
case_162;e3;re5, re3, re19, re1
case_163;e1;re1, re17
case_164;e6;re13, re8
case_165;e2;re6, re15, re8
case_166;e1;re17, re8, re19, re2
case_167;e4;re7, re5, re3, re8
case_168;e2;re4, re12, re5, re8
case_169;e3;re14, re11, re16
case_170;e1;re13, re18, re3
case_171;e3;re20, re1, re12, re19
case_172;e3;re9, re4, re8, re13, re14
case_173;e2;re20, re11
case_174;e6;re12, re4
case_175;e1;re3, re17
case_176;e4;re6, re17, re5
case_177;e7;re8, re17
case_178;e7;re12, re4
case_179;e9;re13, re2
case_180;e7;re18, re8, re10
case_181;e9;re15, re5
case_182;e1;re10, re18, re11
case_183;e5;re14, re15, re9, re3
case_184;e9;re17, re9, re5, re11
case_185;e9;re11, re17, re1, re10
case_186;e9;re14, re16, re9
case_187;e7;re17, re19, re11, re6
case_188;e8;re14, re12
case_189;e4;re7, re2
case_190;e1;re12, re8, re10, re17, re5
case_191;e3;re1, re5, re2, re20
case_192;e1;re6, re8
case_193;e1;re12, re17, re8, re7
case_194;e5;re2, re15, re8, re1, re3
case_195;e7;re2, re8
case_196;e2;re2, re18
case_197;e4;re4, re6, re2
case_198;e5;re9, re8, re16, re7, re2
case_199;e8;re9, re12, re18
case_200;e1;re3, re20, re2
case_201;e1;re13, re16, re3
case_202;e7;re9, re16, re17
case_203;e1;re10, re20, re19, re18
case_204;e1;re20, re14, re10, re4
case_205;e9;re15, re7, re9, re6, re17
case_206;e4;re12, re6
case_207;e5;re4, re10, re14, re17
case_208;e4;re1, re14, re2
case_209;e8;re16, re5, re4
case_210;e8;re4, re18, re11, re20
case_211;e8;re13, re15, re12, re3, re5
case_212;e2;re15, re16
case_213;e6;re20, re9
case_214;e7;re7, re11, re14
case_215;e7;re19, re10, re18, re11, re20
