case:concept:name;concept:team;concept:resources
1;e1;['re1', 're2', 're3', 're4']
2;e5;['re12', 're13']
3;e4;['re7', 're10', 're11']
4;e4;['re7', 're10', 're11']
5;e1;['re1', 're2', 're3', 're4']
6;e3;['re5', 're6', 're7', 're8', 're9']
7;e3;['re5', 're6', 're7', 're8', 're9']
8;e3;['re5', 're6', 're7', 're8', 're9']
9;e5;['re12', 're13']
10;e1;['re1', 're2', 're3', 're4']
11;e1;['re1', 're2', 're3', 're4']
12;e1;['re1', 're2', 're3', 're4']
13;e7;['re7', 're10', 're11']
14;e7;['re7', 're10', 're11']
15;e7;['re7', 're10', 're11']
16;e6;['re1', 're2', 're14']
17;e3;['re5', 're6', 're7', 're8', 're9']
18;e5;['re12', 're13']
19;e1;['re1', 're2', 're3', 're4']
20;e4;['re7', 're10', 're11']
21;e1;['re1', 're2', 're3', 're4']
22;e4;['re7', 're10', 're11']
23;e2;['re2', 're4', 're5']
24;e6;['re1', 're2', 're14']
25;e7;['re7', 're10', 're11']
26;e7;['re7', 're10', 're11']
27;e5;['re12', 're13']
28;e6;['re1', 're2', 're14']
29;e1;['re1', 're2', 're3', 're4']
30;e3;['re5', 're6', 're7', 're8', 're9']
31;e1;['re1', 're2', 're3', 're4']
32;e6;['re1', 're2', 're14']
33;e6;['re1', 're2', 're14']
34;e2;['re2', 're4', 're5']
35;e5;['re12', 're13']
36;e1;['re1', 're2', 're3', 're4']
37;e6;['re1', 're2', 're14']
38;e4;['re7', 're10', 're11']
39;e2;['re2', 're4', 're5']
40;e6;['re1', 're2', 're14']
41;e1;['re1', 're2', 're3', 're4']
42;e6;['re1', 're2', 're14']
43;e5;['re12', 're13']
44;e2;['re2', 're4', 're5']
45;e6;['re1', 're2', 're14']
46;e6;['re1', 're2', 're14']
47;e6;['re1', 're2', 're14']
48;e6;['re1', 're2', 're14']
49;e1;['re1', 're2', 're3', 're4']
50;e7;['re7', 're10', 're11']
51;e1;['re1', 're2', 're3', 're4']
52;e7;['re7', 're10', 're11']
53;e6;['re1', 're2', 're14']
54;e3;['re5', 're6', 're7', 're8', 're9']
55;e5;['re12', 're13']
56;e3;['re5', 're6', 're7', 're8', 're9']
57;e2;['re2', 're4', 're5']
58;e5;['re12', 're13']
59;e4;['re7', 're10', 're11']
60;e3;['re5', 're6', 're7', 're8', 're9']
61;e4;['re7', 're10', 're11']
62;e4;['re7', 're10', 're11']
63;e1;['re1', 're2', 're3', 're4']
64;e1;['re1', 're2', 're3', 're4']
65;e4;['re7', 're10', 're11']
66;e1;['re1', 're2', 're3', 're4']
67;e3;['re5', 're6', 're7', 're8', 're9']
68;e7;['re7', 're10', 're11']
69;e3;['re5', 're6', 're7', 're8', 're9']
70;e7;['re7', 're10', 're11']
71;e4;['re7', 're10', 're11']
72;e4;['re7', 're10', 're11']
73;e1;['re1', 're2', 're3', 're4']
74;e7;['re7', 're10', 're11']
75;e1;['re1', 're2', 're3', 're4']
76;e4;['re7', 're10', 're11']
77;e3;['re5', 're6', 're7', 're8', 're9']
78;e1;['re1', 're2', 're3', 're4']
79;e7;['re7', 're10', 're11']
80;e2;['re2', 're4', 're5']
81;e2;['re2', 're4', 're5']
82;e4;['re7', 're10', 're11']
83;e3;['re5', 're6', 're7', 're8', 're9']
84;e5;['re12', 're13']
85;e3;['re5', 're6', 're7', 're8', 're9']
86;e4;['re7', 're10', 're11']
87;e2;['re2', 're4', 're5']
88;e2;['re2', 're4', 're5']
89;e5;['re12', 're13']
90;e3;['re5', 're6', 're7', 're8', 're9']
91;e4;['re7', 're10', 're11']
92;e1;['re1', 're2', 're3', 're4']
93;e3;['re5', 're6', 're7', 're8', 're9']
94;e2;['re2', 're4', 're5']
95;e5;['re12', 're13']
96;e1;['re1', 're2', 're3', 're4']
97;e5;['re12', 're13']
98;e2;['re2', 're4', 're5']
99;e5;['re12', 're13']
100;e7;['re7', 're10', 're11']
101;e7;['re7', 're10', 're11']
102;e6;['re1', 're2', 're14']
103;e2;['re2', 're4', 're5']
104;e4;['re7', 're10', 're11']
105;e4;['re7', 're10', 're11']
106;e7;['re7', 're10', 're11']
107;e7;['re7', 're10', 're11']
108;e1;['re1', 're2', 're3', 're4']
109;e1;['re1', 're2', 're3', 're4']
110;e5;['re12', 're13']
111;e7;['re7', 're10', 're11']
112;e7;['re7', 're10', 're11']
113;e7;['re7', 're10', 're11']
114;e3;['re5', 're6', 're7', 're8', 're9']
115;e7;['re7', 're10', 're11']
116;e3;['re5', 're6', 're7', 're8', 're9']
117;e1;['re1', 're2', 're3', 're4']
118;e4;['re7', 're10', 're11']
119;e2;['re2', 're4', 're5']
120;e3;['re5', 're6', 're7', 're8', 're9']
121;e1;['re1', 're2', 're3', 're4']
122;e5;['re12', 're13']
123;e7;['re7', 're10', 're11']
124;e2;['re2', 're4', 're5']
125;e6;['re1', 're2', 're14']
126;e4;['re7', 're10', 're11']
127;e7;['re7', 're10', 're11']
128;e6;['re1', 're2', 're14']
129;e1;['re1', 're2', 're3', 're4']
130;e5;['re12', 're13']
131;e2;['re2', 're4', 're5']
132;e1;['re1', 're2', 're3', 're4']
133;e3;['re5', 're6', 're7', 're8', 're9']
134;e1;['re1', 're2', 're3', 're4']
135;e6;['re1', 're2', 're14']
136;e2;['re2', 're4', 're5']
137;e5;['re12', 're13']
138;e3;['re5', 're6', 're7', 're8', 're9']
139;e2;['re2', 're4', 're5']
140;e3;['re5', 're6', 're7', 're8', 're9']
141;e1;['re1', 're2', 're3', 're4']
142;e7;['re7', 're10', 're11']
143;e2;['re2', 're4', 're5']
144;e3;['re5', 're6', 're7', 're8', 're9']
145;e6;['re1', 're2', 're14']
146;e6;['re1', 're2', 're14']
147;e7;['re7', 're10', 're11']
148;e2;['re2', 're4', 're5']
149;e3;['re5', 're6', 're7', 're8', 're9']
150;e4;['re7', 're10', 're11']
151;e6;['re1', 're2', 're14']
152;e1;['re1', 're2', 're3', 're4']
153;e3;['re5', 're6', 're7', 're8', 're9']
154;e3;['re5', 're6', 're7', 're8', 're9']
155;e6;['re1', 're2', 're14']
156;e1;['re1', 're2', 're3', 're4']
157;e3;['re5', 're6', 're7', 're8', 're9']
158;e3;['re5', 're6', 're7', 're8', 're9']
159;e4;['re7', 're10', 're11']
160;e4;['re7', 're10', 're11']
161;e4;['re7', 're10', 're11']
162;e7;['re7', 're10', 're11']
163;e4;['re7', 're10', 're11']
164;e5;['re12', 're13']
165;e1;['re1', 're2', 're3', 're4']
166;e7;['re7', 're10', 're11']
167;e4;['re7', 're10', 're11']
168;e7;['re7', 're10', 're11']
169;e6;['re1', 're2', 're14']
170;e5;['re12', 're13']
171;e6;['re1', 're2', 're14']
172;e7;['re7', 're10', 're11']
173;e7;['re7', 're10', 're11']
174;e7;['re7', 're10', 're11']
175;e1;['re1', 're2', 're3', 're4']
176;e1;['re1', 're2', 're3', 're4']
177;e4;['re7', 're10', 're11']
178;e7;['re7', 're10', 're11']
179;e2;['re2', 're4', 're5']
180;e5;['re12', 're13']
181;e2;['re2', 're4', 're5']
182;e6;['re1', 're2', 're14']
183;e4;['re7', 're10', 're11']
184;e3;['re5', 're6', 're7', 're8', 're9']
185;e4;['re7', 're10', 're11']
186;e7;['re7', 're10', 're11']
187;e5;['re12', 're13']
188;e1;['re1', 're2', 're3', 're4']
189;e1;['re1', 're2', 're3', 're4']
190;e7;['re7', 're10', 're11']
191;e1;['re1', 're2', 're3', 're4']
192;e6;['re1', 're2', 're14']
193;e4;['re7', 're10', 're11']
194;e2;['re2', 're4', 're5']
195;e4;['re7', 're10', 're11']
196;e4;['re7', 're10', 're11']
197;e1;['re1', 're2', 're3', 're4']
198;e7;['re7', 're10', 're11']
199;e6;['re1', 're2', 're14']
200;e7;['re7', 're10', 're11']
201;e7;['re7', 're10', 're11']
202;e3;['re5', 're6', 're7', 're8', 're9']
203;e2;['re2', 're4', 're5']
204;e1;['re1', 're2', 're3', 're4']
205;e1;['re1', 're2', 're3', 're4']
206;e1;['re1', 're2', 're3', 're4']
207;e5;['re12', 're13']
208;e6;['re1', 're2', 're14']
209;e7;['re7', 're10', 're11']
210;e5;['re12', 're13']
211;e3;['re5', 're6', 're7', 're8', 're9']
212;e7;['re7', 're10', 're11']
213;e2;['re2', 're4', 're5']
214;e2;['re2', 're4', 're5']
215;e2;['re2', 're4', 're5']
216;e7;['re7', 're10', 're11']
217;e3;['re5', 're6', 're7', 're8', 're9']
218;e5;['re12', 're13']
219;e4;['re7', 're10', 're11']
220;e5;['re12', 're13']
221;e3;['re5', 're6', 're7', 're8', 're9']
222;e5;['re12', 're13']
223;e7;['re7', 're10', 're11']
224;e2;['re2', 're4', 're5']
225;e5;['re12', 're13']
226;e2;['re2', 're4', 're5']
227;e6;['re1', 're2', 're14']
228;e6;['re1', 're2', 're14']
229;e3;['re5', 're6', 're7', 're8', 're9']
230;e5;['re12', 're13']
231;e6;['re1', 're2', 're14']
232;e7;['re7', 're10', 're11']
233;e1;['re1', 're2', 're3', 're4']
