concept:name,lifecycle:transition,time:timestamp,concept:resource,concept:instance,@@index,@@case_index,case:concept:name
Atualizacao de requisitos funcionais begin,complete,2026-01-06 06:10:18.751000+00:00,re7,1,2,0,Demanda 0001
Requisito r,complete,2026-01-06 09:05:01.886184+00:00,re7,1,40,0,Demanda 0001
Gestao u,complete,2026-01-06 09:31:13.150588+00:00,re7,1,41,0,Demanda 0001
Gestao c,complete,2026-01-06 10:32:40.071672+00:00,re7,1,42,0,Demanda 0001
Requisito r,complete,2026-01-06 10:38:50.570822+00:00,re7,1,43,0,Demanda 0001
Requisito d,complete,2026-01-06 12:05:45.926421+00:00,re7,1,44,0,Demanda 0001
Codigo r,complete,2026-01-06 12:39:42.045402+00:00,re7,1,45,0,Demanda 0001
PF r,complete,2026-01-06 12:46:19.778777+00:00,re7,1,46,0,Demanda 0001
Atualizacao de requisitos funcionais complete,complete,2026-01-06 14:10:18.751000+00:00,re7,1,15,0,Demanda 0001
Documentacao de requisitos funcionais begin,complete,2026-01-05 22:10:25.751000+00:00,re7,2,0,0,Demanda 0001
Gestao d,complete,2026-01-06 00:07:06.869651+00:00,re7,2,47,0,Demanda 0001
Requisito u,complete,2026-01-06 02:23:30.817105+00:00,re7,2,48,0,Demanda 0001
Requisito r,complete,2026-01-06 02:36:50.943892+00:00,re7,2,49,0,Demanda 0001
Requisito c,complete,2026-01-06 03:28:17.687918+00:00,re7,2,50,0,Demanda 0001
Codigo r,complete,2026-01-06 06:01:58.762268+00:00,re7,2,51,0,Demanda 0001
Requisito d,complete,2026-01-06 10:54:17.388057+00:00,re7,2,52,0,Demanda 0001
Gestao u,complete,2026-01-06 13:44:02.651334+00:00,re7,2,53,0,Demanda 0001
Documentacao de requisitos funcionais complete,complete,2026-01-06 14:10:25.751000+00:00,re7,2,16,0,Demanda 0001
Contagem de ponto de funcao begin,complete,2026-01-06 06:26:06.751000+00:00,re7,3,3,0,Demanda 0001
Gestao d,complete,2026-01-06 07:42:01.023880+00:00,re7,3,54,0,Demanda 0001
PF c,complete,2026-01-06 09:02:45.491460+00:00,re7,3,55,0,Demanda 0001
PF d,complete,2026-01-06 09:07:21.489662+00:00,re7,3,56,0,Demanda 0001
Gestao u,complete,2026-01-06 09:13:50.574285+00:00,re7,3,57,0,Demanda 0001
Gestao c,complete,2026-01-06 11:03:42.800103+00:00,re7,3,58,0,Demanda 0001
Contagem de ponto de funcao complete,complete,2026-01-06 14:26:06.751000+00:00,re7,3,17,0,Demanda 0001
Contagem de ponto de funcao begin,complete,2026-01-06 06:42:28.751000+00:00,re7,4,4,0,Demanda 0001
Gestao u,complete,2026-01-06 08:00:06.772091+00:00,re7,4,59,0,Demanda 0001
PF u,complete,2026-01-06 08:11:22.376895+00:00,re7,4,60,0,Demanda 0001
Gestao r,complete,2026-01-06 08:51:49.656000+00:00,re7,4,61,0,Demanda 0001
Codigo r,complete,2026-01-06 10:03:33.725097+00:00,re7,4,62,0,Demanda 0001
PF c,complete,2026-01-06 10:43:16.083187+00:00,re7,4,63,0,Demanda 0001
Requisito r,complete,2026-01-06 12:32:56.692869+00:00,re7,4,64,0,Demanda 0001
Gestao d,complete,2026-01-06 14:21:34.619922+00:00,re7,4,65,0,Demanda 0001
Contagem de ponto de funcao complete,complete,2026-01-06 14:42:28.751000+00:00,re7,4,19,0,Demanda 0001
Publicar solucao begin,complete,2026-01-06 12:50:17.751000+00:00,re7,5,11,0,Demanda 0001
Gestao c,complete,2026-01-06 13:01:56.843093+00:00,re7,5,66,0,Demanda 0001
Gestao u,complete,2026-01-06 14:31:40.357897+00:00,re7,5,67,0,Demanda 0001
Publicar solucao complete,complete,2026-01-06 14:50:17.751000+00:00,re7,5,20,0,Demanda 0001
Gestao da demanda begin,complete,2026-01-06 13:12:43.751000+00:00,re7,6,12,0,Demanda 0001
Gestao u,complete,2026-01-06 15:08:04.290437+00:00,re7,6,68,0,Demanda 0001
Gestao c,complete,2026-01-06 15:09:43.064497+00:00,re7,6,69,0,Demanda 0001
Gestao da demanda complete,complete,2026-01-06 15:12:43.751000+00:00,re7,6,22,0,Demanda 0001
Construcao de funcionalidade begin,complete,2026-01-06 11:21:37.751000+00:00,re7,7,6,0,Demanda 0001
Gestao d,complete,2026-01-06 12:07:00.677614+00:00,re7,7,70,0,Demanda 0001
Codigo d,complete,2026-01-06 12:17:24.408981+00:00,re7,7,71,0,Demanda 0001
Codigo u,complete,2026-01-06 12:22:27.455628+00:00,re7,7,72,0,Demanda 0001
Codigo c,complete,2026-01-06 12:46:27.688538+00:00,re7,7,73,0,Demanda 0001
Requisito r,complete,2026-01-06 13:18:04.557568+00:00,re7,7,74,0,Demanda 0001
Teste r,complete,2026-01-06 13:23:10.770019+00:00,re7,7,75,0,Demanda 0001
Gestao r,complete,2026-01-06 13:58:59.759235+00:00,re7,7,76,0,Demanda 0001
Gestao u,complete,2026-01-06 14:12:20.436370+00:00,re7,7,77,0,Demanda 0001
Construcao de funcionalidade complete,complete,2026-01-06 15:21:37.751000+00:00,re7,7,23,0,Demanda 0001
Contagem de ponto de funcao begin,complete,2026-01-06 13:25:46.751000+00:00,re7,8,13,0,Demanda 0001
Gestao u,complete,2026-01-06 13:31:41.937432+00:00,re7,8,78,0,Demanda 0001
Requisito r,complete,2026-01-06 13:45:56.816321+00:00,re7,8,79,0,Demanda 0001
PF r,complete,2026-01-06 13:50:14.848453+00:00,re7,8,80,0,Demanda 0001
PF c,complete,2026-01-06 14:04:55.286152+00:00,re7,8,81,0,Demanda 0001
Codigo r,complete,2026-01-06 14:12:26.116448+00:00,re7,8,82,0,Demanda 0001
Gestao c,complete,2026-01-06 14:19:39.450580+00:00,re7,8,83,0,Demanda 0001
PF u,complete,2026-01-06 15:15:19.184414+00:00,re7,8,84,0,Demanda 0001
PF d,complete,2026-01-06 15:25:09.196825+00:00,re7,8,85,0,Demanda 0001
Contagem de ponto de funcao complete,complete,2026-01-06 15:25:46.751000+00:00,re7,8,24,0,Demanda 0001
Contagem de ponto de funcao begin,complete,2026-01-06 14:30:52.751000+00:00,re7,9,18,0,Demanda 0001
Gestao d,complete,2026-01-06 14:40:49.840583+00:00,re7,9,86,0,Demanda 0001
Gestao c,complete,2026-01-06 14:52:56.667175+00:00,re7,9,87,0,Demanda 0001
