case:concept:name;concept:team;concept:resources
case_0;e6;re18, re6
case_1;e9;re17, re12, re20
case_2;e7;re20, re7
case_3;e2;re16, re5, re1
case_4;e6;re1, re7, re13, re3, re17
case_5;e8;re13, re7, re9
case_6;e4;re3, re5, re19, re1
case_7;e9;re12, re9
case_8;e1;re18, re8
case_9;e1;re14, re9
case_10;e2;re2, re19, re11, re5
case_11;e4;re7, re14, re3, re20
case_12;e6;re19, re15, re2, re10, re18
case_13;e3;re18, re6, re20, re4, re10
case_14;e9;re16, re3
case_15;e7;re1, re7, re14, re12, re3
case_16;e7;re17, re13, re9, re16, re3
case_17;e9;re12, re1
case_18;e2;re7, re9
case_19;e1;re13, re8
case_20;e7;re14, re2, re18, re15
case_21;e6;re2, re8, re18, re14, re13
case_22;e7;re18, re11, re14
case_23;e8;re3, re19, re4, re6
case_24;e9;re18, re12
case_25;e3;re12, re2
case_26;e5;re6, re15
case_27;e1;re11, re10
case_28;e7;re14, re6
case_29;e3;re12, re7, re19, re2, re14
case_30;e1;re5, re2, re15, re20
case_31;e5;re2, re4
case_32;e7;re16, re6
case_33;e9;re12, re14, re13, re3
case_34;e2;re5, re15, re1
case_35;e3;re2, re6, re12, re10, re4
case_36;e9;re12, re17
case_37;e3;re7, re15, re11, re17
case_38;e5;re15, re3
case_39;e5;re13, re4, re10
case_40;e5;re10, re4, re12
case_41;e1;re18, re4, re2, re1, re10
case_42;e3;re8, re2, re17, re7
case_43;e6;re7, re11
case_44;e7;re4, re14
case_45;e7;re3, re1, re5, re7
case_46;e7;re16, re20, re6
case_47;e4;re17, re4
case_48;e5;re3, re13
case_49;e5;re10, re18
case_50;e5;re10, re9, re4, re3, re12
case_51;e8;re16, re4, re1, re3, re2
case_52;e6;re10, re4
case_53;e8;re9, re7, re1, re15
case_54;e6;re20, re3, re16, re14, re8
case_55;e7;re7, re20, re17, re4
case_56;e7;re4, re14
case_57;e2;re7, re9
case_58;e3;re1, re12, re2
case_59;e3;re7, re11, re3
case_60;e4;re1, re7, re10, re3, re15
case_61;e1;re17, re16, re9
case_62;e8;re17, re14, re4, re20
case_63;e9;re5, re10
case_64;e2;re1, re6, re15
case_65;e6;re15, re18
case_66;e9;re15, re3, re8, re5
case_67;e9;re12, re5, re13, re9
case_68;e3;re10, re8, re1, re14
case_69;e1;re11, re2, re9, re10
case_70;e1;re7, re5, re18, re6
case_71;e7;re17, re2, re5, re3, re1
case_72;e2;re9, re5, re14
case_73;e2;re9, re13, re18, re3
case_74;e9;re6, re3, re14
case_75;e6;re13, re16, re18, re8, re2
case_76;e4;re5, re4, re20
case_77;e6;re17, re4, re16
case_78;e3;re12, re9, re18, re15, re7
case_79;e7;re1, re9, re16, re10, re19
case_80;e4;re8, re19
case_81;e9;re12, re11, re10, re3, re14
case_82;e6;re9, re17, re1, re14
case_83;e9;re6, re12, re2, re16, re9
case_84;e4;re15, re18, re16, re7, re13
case_85;e8;re9, re19, re5
case_86;e9;re7, re4, re17, re10, re19
case_87;e3;re12, re4, re14
case_88;e1;re18, re4
case_89;e7;re20, re16, re17, re4
case_90;e7;re5, re14
case_91;e1;re6, re5, re12, re17, re8
case_92;e1;re7, re19, re2, re13
case_93;e5;re20, re16
case_94;e8;re1, re4, re9
case_95;e8;re15, re1, re17, re10, re14
case_96;e1;re6, re11, re13, re12, re8
case_97;e4;re8, re13, re7, re2
case_98;e7;re19, re20, re18, re5, re4
case_99;e4;re6, re20, re14, re13
case_100;e5;re3, re8, re4, re10, re5
case_101;e4;re20, re14, re18, re17, re16
case_102;e4;re9, re18, re10, re16
case_103;e6;re12, re4, re15
case_104;e3;re14, re1, re7
case_105;e1;re20, re19
case_106;e2;re9, re14, re13, re15, re10
case_107;e2;re9, re3, re6, re1
case_108;e7;re7, re4
case_109;e7;re15, re4, re10, re11
case_110;e1;re18, re4, re17, re14, re9
case_111;e3;re14, re20, re8
case_112;e4;re19, re20, re16, re5
case_113;e3;re6, re5, re12, re7
case_114;e1;re11, re5, re6
case_115;e2;re12, re2, re3, re20, re6
case_116;e8;re18, re8
case_117;e6;re6, re2, re5
case_118;e1;re1, re2, re3, re7
case_119;e9;re1, re6, re15, re2, re11
case_120;e6;re10, re16, re6, re3, re4
case_121;e5;re20, re17, re2, re14, re18
case_122;e2;re14, re1, re4, re16
case_123;e3;re5, re12
case_124;e5;re9, re1
case_125;e2;re16, re10, re13, re3, re6
case_126;e5;re13, re19, re14, re7
case_127;e9;re13, re19, re1, re2, re3
case_128;e6;re15, re5, re13, re12
case_129;e8;re9, re1, re17
case_130;e4;re19, re6
case_131;e9;re7, re15, re20, re8
case_132;e6;re11, re17, re6, re4, re20
case_133;e1;re19, re12, re10, re17
case_134;e6;re6, re3, re1, re8, re7
case_135;e5;re11, re15, re6, re19
case_136;e1;re8, re3, re7, re10
case_137;e6;re5, re12, re3
case_138;e1;re20, re7, re4
case_139;e3;re8, re2, re20, re19
case_140;e5;re11, re13, re9, re14, re17
case_141;e1;re14, re6, re9, re16
case_142;e5;re16, re8
case_143;e2;re9, re19
case_144;e6;re10, re9, re11, re12, re3
case_145;e8;re6, re15, re9
case_146;e1;re10, re18, re1
case_147;e2;re2, re19, re9
case_148;e7;re1, re3
case_149;e6;re11, re16
case_150;e7;re13, re6, re18, re7
case_151;e5;re9, re7, re15, re18
case_152;e3;re1, re15, re14, re6, re2
case_153;e2;re4, re19, re15, re8
case_154;e5;re1, re16, re12, re7
case_155;e5;re12, re11, re1
case_156;e3;re2, re11, re4, re6, re12
case_157;e7;re4, re20, re5, re2, re18
case_158;e9;re6, re17, re5, re10, re14
case_159;e6;re1, re5
case_160;e9;re14, re3
case_161;e7;re3, re6, re20
case_162;e1;re1, re17, re16, re4
case_163;e4;re17, re20, re8
case_164;e7;re20, re8, re16
case_165;e5;re12, re19, re9, re6
case_166;e3;re19, re2, re15
case_167;e2;re17, re18, re5, re1, re20
case_168;e1;re14, re16
case_169;e9;re6, re7
case_170;e9;re13, re18, re19, re17
case_171;e5;re9, re19
case_172;e3;re1, re12, re10, re14
case_173;e3;re20, re5
case_174;e3;re2, re1
case_175;e6;re17, re18, re4
case_176;e6;re16, re11, re20, re13, re5
case_177;e4;re8, re3
case_178;e5;re17, re13, re18
case_179;e9;re19, re8
case_180;e9;re9, re14, re8, re12
case_181;e1;re19, re13, re8
case_182;e4;re9, re3
case_183;e1;re14, re3, re7, re11
case_184;e7;re1, re5
case_185;e5;re10, re2, re11, re20, re13
case_186;e6;re12, re11, re19
case_187;e7;re17, re14, re11
case_188;e5;re2, re4, re20, re9, re18
case_189;e1;re6, re8, re1, re13, re9
case_190;e4;re7, re16, re15, re13, re19
case_191;e8;re8, re6, re13, re7
case_192;e9;re8, re7
case_193;e5;re2, re19, re11, re13, re5
case_194;e6;re11, re18
case_195;e6;re18, re11, re17
case_196;e5;re3, re20, re8, re2, re7
case_197;e7;re11, re5, re8, re17
case_198;e1;re9, re3, re13, re1, re4
case_199;e4;re7, re20, re17, re13
case_200;e7;re16, re11, re8, re4
case_201;e2;re13, re19, re20, re14, re5
case_202;e7;re14, re10, re11, re1
case_203;e6;re14, re19, re2, re12, re8
case_204;e5;re18, re9, re14
case_205;e9;re14, re9, re12
case_206;e6;re1, re4, re13, re15, re7
case_207;e6;re6, re13, re2, re18
case_208;e6;re8, re7, re18, re9, re13
case_209;e7;re3, re4, re13, re1, re10
case_210;e7;re7, re19, re5, re11
case_211;e8;re20, re1
case_212;e1;re11, re17
case_213;e3;re5, re1
case_214;e4;re2, re17, re18
case_215;e7;re11, re10, re1, re14, re18
case_216;e9;re12, re8
case_217;e1;re10, re16, re15, re11, re8
case_218;e7;re4, re1
case_219;e9;re10, re19, re13
case_220;e6;re17, re8, re18, re1
case_221;e9;re13, re19, re16
case_222;e4;re20, re14, re7, re5
case_223;e1;re11, re8, re4, re10, re3
case_224;e2;re18, re4, re6
case_225;e8;re14, re10, re18, re4
case_226;e1;re1, re15, re12, re9, re3
case_227;e6;re1, re12, re4, re19, re20
case_228;e9;re17, re16
case_229;e8;re17, re16, re2, re15
case_230;e5;re1, re15
case_231;e7;re10, re2, re11, re9
case_232;e2;re17, re8
case_233;e1;re10, re12, re1
case_234;e2;re12, re14
case_235;e9;re10, re17
case_236;e6;re5, re9, re6, re10
case_237;e2;re17, re9
case_238;e7;re1, re14, re6, re7
case_239;e5;re16, re1
case_240;e4;re11, re7, re5
case_241;e1;re16, re13
case_242;e9;re13, re4
case_243;e5;re2, re19
case_244;e4;re5, re1, re19, re11
case_245;e2;re5, re20, re4
case_246;e9;re10, re4
case_247;e8;re14, re8, re17, re2
case_248;e1;re3, re13
case_249;e5;re20, re4, re9
case_250;e9;re8, re20
case_251;e3;re19, re8, re10, re16, re9
case_252;e4;re8, re5, re3
case_253;e8;re11, re8
case_254;e9;re14, re11, re3, re4, re6
case_255;e6;re4, re8, re9
case_256;e6;re20, re3
case_257;e6;re9, re19, re3, re18
case_258;e3;re20, re14, re12, re2
case_259;e5;re15, re7, re11, re5, re14
case_260;e1;re4, re17
case_261;e5;re15, re6, re19
case_262;e7;re20, re11
case_263;e6;re11, re8, re9, re17, re18
case_264;e2;re19, re17, re18
case_265;e9;re15, re19, re7, re4, re16
case_266;e5;re7, re17, re8
case_267;e7;re2, re5, re15, re18
case_268;e4;re3, re20
case_269;e6;re3, re6, re12, re1
case_270;e6;re5, re3, re9, re19
case_271;e7;re9, re17
case_272;e5;re13, re14, re8, re19
case_273;e3;re12, re20, re19, re4
case_274;e1;re14, re3, re2
case_275;e4;re11, re18, re2, re3, re13
case_276;e7;re19, re2, re6, re17, re16
case_277;e4;re20, re10
case_278;e9;re4, re17, re7, re12
case_279;e3;re4, re5, re1, re13, re11
case_280;e4;re13, re1, re3
case_281;e8;re11, re18, re4, re9, re14
case_282;e7;re17, re12, re10
case_283;e5;re16, re8, re11, re9
case_284;e8;re14, re6, re4, re2
case_285;e7;re2, re8
case_286;e5;re14, re12
case_287;e3;re3, re2
case_288;e4;re9, re12
case_289;e5;re14, re12
case_290;e2;re11, re1, re5
case_291;e7;re19, re4, re14, re5, re9
case_292;e9;re8, re3, re17
case_293;e8;re6, re13
case_294;e8;re18, re15, re2, re10, re8
case_295;e8;re3, re7, re8
case_296;e8;re4, re5, re12
case_297;e9;re13, re11, re4, re7, re19
case_298;e7;re3, re12, re20, re17, re6
case_299;e8;re20, re16, re15, re12, re5
case_300;e2;re20, re8, re2
case_301;e3;re4, re5
case_302;e2;re7, re11
case_303;e7;re1, re9, re8, re2
case_304;e5;re7, re6, re11, re1, re15
case_305;e4;re2, re6, re10, re13
case_306;e9;re19, re4, re9, re6, re20
case_307;e7;re18, re10, re20
case_308;e8;re4, re6, re3, re1, re9
case_309;e4;re13, re18
case_310;e8;re14, re3, re10
case_311;e3;re12, re9, re20
case_312;e7;re13, re9, re5, re16, re3
case_313;e9;re15, re9, re20, re12
case_314;e7;re7, re2, re9
case_315;e8;re20, re4
case_316;e1;re20, re2, re9, re4
case_317;e7;re1, re17, re18
case_318;e9;re17, re16
case_319;e5;re9, re6, re2
case_320;e7;re12, re16
case_321;e5;re7, re17, re8, re15, re16
case_322;e9;re18, re6, re4, re9, re8
case_323;e4;re17, re15, re14, re10
case_324;e1;re16, re6, re4, re3
case_325;e8;re8, re2, re3, re5, re14
case_326;e8;re17, re10, re11
case_327;e4;re9, re12, re5, re3
case_328;e8;re9, re16
case_329;e7;re16, re2, re6
case_330;e5;re1, re12, re11
case_331;e7;re13, re4, re19, re7, re1
case_332;e7;re5, re3
case_333;e1;re3, re15, re14
case_334;e8;re9, re10, re4
case_335;e5;re9, re15, re7, re14
case_336;e7;re4, re7, re10, re2
case_337;e7;re5, re4
case_338;e1;re9, re20
case_339;e6;re2, re20, re7, re15
case_340;e3;re20, re14, re12, re2
case_341;e5;re19, re9
case_342;e7;re3, re7
case_343;e5;re20, re10, re1, re8
case_344;e2;re4, re10, re5, re14, re8
case_345;e3;re16, re17, re1, re19, re5
case_346;e9;re19, re2, re6, re5
case_347;e9;re2, re11, re16, re9, re12
case_348;e8;re8, re6, re4, re12
case_349;e1;re9, re7, re18, re8
case_350;e4;re15, re17
case_351;e6;re2, re12, re17
case_352;e8;re6, re20, re18, re11, re5
case_353;e9;re15, re2, re10, re17, re9
case_354;e8;re19, re13, re11, re8
case_355;e4;re19, re7, re11, re2, re4
case_356;e6;re7, re5
case_357;e1;re5, re4, re13
case_358;e8;re18, re16, re15
case_359;e7;re11, re19, re15, re10
case_360;e2;re3, re20, re1, re14, re7
case_361;e4;re12, re7
case_362;e2;re10, re18, re15
case_363;e4;re14, re8, re7, re19, re4
case_364;e9;re14, re7, re2
case_365;e5;re10, re2, re6, re16
case_366;e9;re14, re10, re6, re7, re12
case_367;e1;re9, re16
case_368;e8;re18, re19, re1, re15
case_369;e8;re5, re17, re19
case_370;e6;re18, re19
case_371;e3;re4, re7, re6, re19, re2
case_372;e1;re4, re11, re9, re8, re1
case_373;e2;re20, re14
case_374;e7;re8, re18, re14, re19
case_375;e7;re1, re9
case_376;e7;re3, re20, re16, re11
case_377;e6;re9, re15, re4, re1
case_378;e3;re10, re19
case_379;e8;re12, re2, re1, re16
case_380;e7;re6, re17, re10
case_381;e1;re17, re15, re20, re10, re18
case_382;e2;re14, re7, re5
case_383;e5;re4, re11, re6, re14, re13
case_384;e2;re1, re18
case_385;e9;re9, re7, re17
case_386;e3;re16, re18, re1, re9, re8
case_387;e1;re4, re10, re3
case_388;e9;re9, re17
case_389;e1;re6, re19
case_390;e4;re18, re10, re12, re17
case_391;e7;re19, re7, re8
case_392;e8;re3, re14, re16
case_393;e8;re18, re12, re16, re11
case_394;e2;re9, re5, re11, re19
case_395;e3;re11, re19, re14, re6, re9
case_396;e9;re20, re8
case_397;e5;re14, re18
case_398;e7;re12, re5, re17
case_399;e9;re7, re1, re13
case_400;e7;re2, re19, re15
case_401;e6;re10, re4
case_402;e6;re6, re7, re13, re10, re12
case_403;e3;re5, re14
case_404;e8;re1, re11, re18, re5, re19
case_405;e5;re4, re3, re16, re15
case_406;e8;re4, re6, re20, re16
case_407;e8;re8, re3, re9, re7
case_408;e4;re20, re7, re8, re2
case_409;e7;re3, re17, re13, re20
case_410;e6;re6, re13, re1
case_411;e1;re9, re2, re18, re7, re19
case_412;e2;re17, re6, re15, re14, re18
case_413;e2;re10, re16, re12, re7
case_414;e1;re1, re16
case_415;e4;re10, re9, re12, re19
case_416;e3;re8, re5
case_417;e3;re16, re3, re14
case_418;e4;re11, re9, re6, re12
case_419;e3;re8, re7, re5, re3, re4
case_420;e6;re1, re2
case_421;e1;re10, re7, re3, re20, re11
case_422;e8;re12, re10, re4
case_423;e2;re3, re7, re17, re15, re1
case_424;e8;re10, re18, re8
case_425;e5;re2, re7, re12, re17
case_426;e4;re12, re3, re15, re10
case_427;e8;re18, re9, re11
case_428;e4;re4, re15, re3, re2
case_429;e7;re16, re5, re4
case_430;e3;re14, re6, re10
case_431;e2;re16, re1, re9, re6, re8
case_432;e5;re20, re3, re7, re5, re10
case_433;e9;re11, re10, re3, re20
case_434;e5;re12, re14
case_435;e8;re20, re6, re13, re12, re11
case_436;e1;re18, re16, re11, re6
case_437;e1;re3, re18, re20, re16
case_438;e5;re20, re16, re3
case_439;e6;re9, re18, re19, re16, re1
case_440;e3;re8, re17, re18, re9, re12
case_441;e8;re13, re4
case_442;e7;re4, re19, re6, re2
case_443;e6;re11, re9, re10
case_444;e3;re10, re18, re14, re3
case_445;e6;re8, re13, re19, re2, re6
case_446;e4;re18, re4, re16, re1, re17
case_447;e9;re14, re4, re10, re7, re13
case_448;e1;re18, re11, re6
case_449;e8;re2, re8
case_450;e5;re7, re9, re2, re17
case_451;e6;re15, re8, re2
case_452;e6;re17, re7, re11, re1
case_453;e7;re11, re3, re2
case_454;e6;re14, re6, re3, re20, re13
case_455;e1;re13, re6, re5, re14
case_456;e5;re15, re3, re18
case_457;e4;re11, re17
case_458;e6;re6, re5, re17, re2, re12
case_459;e6;re3, re10
case_460;e2;re2, re19, re11
case_461;e3;re15, re14, re3, re18
case_462;e7;re11, re18, re10, re13
case_463;e6;re17, re16
case_464;e3;re5, re12
case_465;e3;re18, re5, re2
case_466;e8;re4, re6, re11, re8
case_467;e8;re11, re3, re5
case_468;e7;re1, re7
case_469;e9;re20, re5, re1, re9, re15
case_470;e2;re19, re10, re14, re2, re15
case_471;e9;re17, re11, re8, re2, re14
case_472;e3;re19, re8
case_473;e8;re8, re16
case_474;e1;re18, re9, re8, re12
case_475;e8;re10, re5, re19, re17, re12
case_476;e1;re5, re9, re12, re13
case_477;e9;re12, re14, re7
case_478;e2;re18, re20
case_479;e7;re10, re12, re19, re6, re9
case_480;e3;re2, re4, re3
case_481;e3;re3, re10, re2
case_482;e5;re11, re2
case_483;e2;re8, re18, re2, re13, re20
case_484;e3;re16, re11, re7
case_485;e8;re10, re6, re18, re14
case_486;e3;re13, re10
case_487;e5;re1, re16, re11
case_488;e7;re9, re4, re2, re16, re10
case_489;e5;re17, re20, re5, re7, re6
case_490;e1;re7, re5, re9
case_491;e7;re10, re3
case_492;e5;re15, re19, re9, re5
case_493;e2;re4, re19
case_494;e5;re15, re1, re13, re17
case_495;e8;re1, re17, re4
case_496;e7;re15, re9, re3, re20, re8
case_497;e8;re16, re6, re18, re8, re12
case_498;e8;re10, re3, re20, re12
case_499;e2;re2, re13, re11, re10
case_500;e3;re11, re16, re1, re20
case_501;e6;re14, re3
case_502;e4;re8, re9, re20
case_503;e2;re11, re1, re8, re19
case_504;e9;re14, re3, re11
case_505;e1;re3, re4, re11, re13
case_506;e9;re20, re14, re9, re1
case_507;e2;re5, re12
case_508;e2;re20, re8, re6, re17, re12
case_509;e7;re14, re1
case_510;e7;re3, re6
case_511;e9;re4, re19
case_512;e7;re5, re1, re19, re16, re7
case_513;e3;re2, re5, re14, re11, re12
case_514;e1;re18, re17, re20, re4
case_515;e9;re1, re18, re17, re16
case_516;e6;re17, re13
case_517;e7;re5, re14, re2, re16
case_518;e6;re18, re10
case_519;e2;re7, re5, re3, re19
case_520;e6;re6, re2
case_521;e9;re5, re7, re18, re13, re6
case_522;e9;re10, re6, re3
case_523;e7;re1, re5, re2, re20, re3
case_524;e7;re4, re3
case_525;e7;re20, re11, re12, re16
case_526;e6;re12, re4, re5, re18, re16
case_527;e1;re12, re7
case_528;e9;re17, re13, re12, re2
case_529;e2;re11, re9
case_530;e6;re16, re19, re12, re11, re1
case_531;e5;re10, re12, re7
case_532;e7;re4, re17, re14, re9
case_533;e5;re8, re4
case_534;e4;re9, re16, re8, re14
case_535;e4;re9, re19, re11, re5, re3
case_536;e8;re8, re20
case_537;e2;re16, re20
case_538;e5;re19, re12, re17
case_539;e7;re6, re12
case_540;e4;re1, re16, re7
case_541;e9;re6, re7, re3, re4
case_542;e1;re14, re5, re7, re17
case_543;e9;re12, re19, re1
case_544;e7;re1, re17, re5, re2
case_545;e6;re10, re11, re13, re15, re1
case_546;e2;re11, re12
case_547;e8;re15, re1, re9
case_548;e2;re15, re20
case_549;e3;re12, re5, re15
case_550;e6;re14, re9
case_551;e4;re5, re4, re12
case_552;e2;re12, re15, re19, re1, re8
case_553;e2;re18, re1
case_554;e9;re1, re17
case_555;e8;re19, re12, re3
case_556;e3;re19, re13, re16, re18
case_557;e4;re14, re10, re6, re2, re7
case_558;e6;re15, re12, re7, re6
case_559;e3;re10, re13, re17
case_560;e2;re13, re4, re19, re20
